Survey_Name,Year,Sector,State_Code,District_Code,Household_ID,Item_Code,Quantity,Value,Multiplier
HCES,2024,1,1,21,1,4,1.0,1.0,192686
HCES,2024,1,1,21,1,4,1.0,1.0,177967
HCES,2024,1,1,21,2,4,1.0,1.0,177967
HCES,2024,1,1,21,1,4,1.0,1.0,117217
HCES,2024,1,1,21,2,4,1.0,1.0,117217
HCES,2024,1,1,21,3,4,1.0,1.0,117217
HCES,2024,1,1,21,5,4,1.0,1.0,117217
HCES,2024,1,1,21,7,4,1.0,1.0,117217
HCES,2024,1,1,21,8,4,1.0,1.0,117217
HCES,2024,1,1,21,9,4,1.0,1.0,117217
HCES,2024,1,1,21,10,4,1.0,1.0,117217
HCES,2024,1,1,21,11,4,1.0,1.0,117217
HCES,2024,1,1,21,12,4,1.0,1.0,117217
HCES,2024,1,1,21,13,4,1.0,1.0,117217
HCES,2024,1,1,21,14,4,1.0,1.0,117217
HCES,2024,1,1,5,1,4,1.0,1.0,154550
HCES,2024,1,1,5,2,4,1.0,1.0,154550
HCES,2024,1,1,5,1,4,1.0,1.0,125045
HCES,2024,1,1,5,4,4,1.0,1.0,125045
HCES,2024,1,1,5,5,4,1.0,1.0,125045
HCES,2024,1,1,5,6,4,1.0,1.0,125045
HCES,2024,1,1,5,7,4,1.0,1.0,125045
HCES,2024,1,1,5,8,4,1.0,1.0,125045
HCES,2024,1,1,5,9,4,1.0,1.0,125045
HCES,2024,1,1,5,10,4,1.0,1.0,125045
HCES,2024,1,1,5,12,4,1.0,1.0,125045
HCES,2024,1,1,5,13,4,1.0,1.0,125045
HCES,2024,1,1,5,14,4,1.0,1.0,125045
HCES,2024,1,1,5,15,4,1.0,1.0,125045
HCES,2024,1,1,5,16,4,1.0,1.0,125045
HCES,2024,1,1,5,1,4,1.0,1.0,132781
HCES,2024,1,1,5,2,4,1.0,1.0,101167
HCES,2024,1,1,5,3,4,1.0,1.0,101167
HCES,2024,1,1,5,2,4,1.0,1.0,76959
HCES,2024,1,1,5,4,4,1.0,1.0,76959
HCES,2024,1,1,5,5,4,1.0,1.0,76959
HCES,2024,1,1,5,6,4,1.0,1.0,76959
HCES,2024,1,1,5,7,4,1.0,1.0,76959
HCES,2024,1,1,5,8,4,1.0,1.0,76959
HCES,2024,1,1,5,9,4,1.0,1.0,76959
HCES,2024,1,1,5,10,4,1.0,1.0,76959
HCES,2024,1,1,5,11,4,1.0,1.0,76959
HCES,2024,1,1,5,12,4,1.0,1.0,76959
HCES,2024,1,1,5,13,4,1.0,1.0,76959
HCES,2024,1,1,5,14,4,1.0,1.0,76959
HCES,2024,1,1,19,1,4,1.0,1.0,24694
HCES,2024,1,1,19,1,4,1.0,1.0,24077
HCES,2024,1,1,19,2,4,1.0,1.0,24077
HCES,2024,1,1,19,1,4,1.0,1.0,16510
HCES,2024,1,1,19,2,4,1.0,1.0,16510
